Ulke,Cinsiyet,Tedavi_Turu,Fiyat_(Eur),Basvuru_Kanali,Bizim_ilk_Tepki_Suremiz_(sn),Musterinin_ilk_Tepki_Suresi_(sn),Musterinin_ilk_Mesaj_Uzunlugu_(harf_sayisi),Satis_Oldu_Mu
3,2,1,2500,2,100,500,120,2
3,1,1,2500,1,100,150,20,2
3,1,1,2500,1,100,200,30,2
3,1,1,2500,2,100,500,30,2
3,2,1,2500,1,100,150,80,1
3,2,1,2500,2,100,200,120,2
3,2,1,2500,2,100,500,120,2
3,1,1,2500,1,100,150,20,2
3,1,1,2500,1,100,200,30,2
3,1,1,2500,2,100,500,30,2
3,2,1,2500,1,100,150,80,1
3,2,1,2500,2,100,200,120,2
3,2,1,2500,2,100,500,120,2
4,1,1,2500,1,100,150,20,2
4,1,1,2500,1,100,200,30,2
4,1,1,2500,2,100,500,30,2
4,2,1,2500,1,100,150,80,1
4,2,1,2500,2,100,200,120,2
4,2,1,2500,2,100,500,120,2
4,1,1,2500,1,100,150,20,2
4,1,1,2500,1,100,200,30,2
4,1,1,2500,2,100,500,30,2
4,2,1,2500,1,100,150,80,1
4,2,1,2500,2,100,200,120,2
4,2,1,2500,2,100,500,120,2
4,1,1,2500,1,100,150,20,2
4,1,1,2500,1,100,200,30,2
4,1,1,2500,2,100,500,30,2
4,2,1,2500,1,100,150,80,1
4,2,1,2500,2,100,200,120,2
4,2,1,2500,2,100,500,120,2
4,1,1,2500,1,100,150,20,2
4,1,1,2500,1,100,200,30,2
4,1,1,2500,2,100,500,30,2
4,2,1,2500,1,100,150,80,1
4,2,1,2500,2,100,200,120,2
4,2,1,2500,2,100,500,120,2
5,1,1,2500,1,100,150,20,2
5,1,1,2500,1,100,200,30,2
5,1,1,2500,2,100,500,30,2
5,2,1,2500,1,100,150,80,1
5,2,1,2500,2,100,200,120,2
5,2,1,2500,2,100,500,120,2
5,1,1,2500,1,100,150,20,2
5,1,1,2500,1,100,200,30,2
5,1,1,2500,2,100,500,30,2
5,2,1,2500,1,100,150,80,1
5,2,1,2500,2,100,200,120,2
5,2,1,2500,2,100,500,120,2
5,1,1,2500,1,100,150,20,2
5,1,1,2500,1,100,200,30,2
5,1,1,2500,2,100,500,30,2
5,2,1,2500,1,100,150,80,1
5,2,1,2500,2,100,200,120,2
5,2,1,2500,2,100,500,120,2
5,1,1,2500,1,100,150,20,2
5,1,1,2500,1,100,200,30,2
5,1,1,2500,2,100,500,30,2
5,2,1,2500,1,100,150,80,1
5,2,1,2500,2,100,200,120,2
5,2,1,2500,2,100,500,120,2
6,1,1,2500,1,100,150,20,2
6,1,1,2500,1,100,200,30,2
6,1,1,2500,2,100,500,30,2
6,2,1,2500,1,100,150,80,1
6,2,1,2500,2,100,200,120,2
6,2,1,2500,2,100,500,120,2
6,1,1,2500,1,100,150,20,2
6,1,1,2500,1,100,200,30,2
6,1,1,2500,2,100,500,30,2
6,2,1,2500,1,100,150,80,1
6,2,1,2500,2,100,200,120,2
6,2,1,2500,2,100,500,120,2
6,1,1,2500,1,100,150,20,2
6,1,1,2500,1,100,200,30,2
6,1,1,2500,2,100,500,30,2
6,2,1,2500,1,100,150,80,1
6,2,1,2500,2,100,200,120,2
6,2,1,2500,2,100,500,120,2
6,1,1,2500,1,100,150,20,2
6,1,1,2500,1,100,200,30,2
6,1,1,2500,2,100,500,30,2
6,2,1,2500,1,100,150,80,1
6,2,1,2500,2,100,200,120,2
6,2,1,2500,2,100,500,120,2
7,1,1,2500,1,100,150,20,2
7,1,1,2500,1,100,200,30,2
7,1,1,2500,2,100,500,30,2
7,2,1,2500,1,100,150,80,1
7,2,1,2500,2,100,200,120,2
7,2,1,2500,2,100,500,120,2
7,1,1,2500,1,100,150,20,2
7,1,1,2500,1,100,200,30,2
7,1,1,2500,2,100,500,30,2
7,2,1,2500,1,100,150,80,1
7,2,1,2500,2,100,200,120,2
7,2,1,2500,2,100,500,120,2
7,1,1,2500,1,100,150,20,2
7,1,1,2500,1,100,200,30,2
7,1,1,2500,2,100,500,30,2
7,2,1,2500,1,100,150,80,1
7,2,1,2500,2,100,200,120,2
7,2,1,2500,2,100,500,120,2
7,1,1,2500,1,100,150,20,2
7,1,1,2500,1,100,200,30,2
7,1,1,2500,2,100,500,30,2
7,2,1,2500,1,100,150,80,1
7,2,1,2500,2,100,200,120,2
7,2,1,2500,2,100,500,120,2
8,1,1,2500,1,100,150,20,2
8,1,1,2500,1,100,200,30,2
8,1,1,2500,2,100,500,30,2
8,2,1,2500,1,100,150,80,1
8,2,1,2500,2,100,200,120,2
8,2,1,2500,2,100,500,120,2
8,1,1,2500,1,100,150,20,2
8,1,1,2500,1,100,200,30,1
8,1,1,2500,2,100,500,30,2
8,2,1,2500,1,100,150,80,1
8,2,1,2500,2,100,200,120,1
8,2,1,2500,2,100,500,120,2
8,1,1,2500,1,100,150,20,2
8,1,1,2500,1,100,200,30,1
8,1,1,2500,2,100,500,30,2
8,2,1,2500,1,100,150,80,1
8,2,1,2500,2,100,200,120,1
8,2,1,2500,2,100,500,120,2
8,1,1,2500,1,100,150,20,2
8,1,1,2500,1,100,200,30,1
8,1,1,2500,2,100,500,30,2
8,2,1,2500,1,100,150,80,2
8,2,1,2500,2,100,200,120,1
8,2,1,2500,2,100,500,120,2
9,1,1,2500,1,100,150,20,2
9,1,1,2500,1,100,200,30,2
9,1,1,2500,2,100,500,30,2
9,2,1,2500,1,100,150,80,2
9,2,1,2500,2,100,200,120,1
9,2,1,2500,2,100,500,120,2
9,1,1,2500,1,100,150,20,2
9,1,1,2500,1,100,200,30,2
9,1,1,2500,2,100,500,30,2
9,2,1,2500,1,100,150,80,2
9,2,1,2500,2,100,200,120,1
9,2,1,2500,2,100,500,120,2
9,1,1,2500,1,100,150,20,2
9,1,1,2500,1,100,200,30,2
9,1,1,2500,2,100,500,30,2
9,2,1,2500,1,100,150,80,2
9,2,1,2500,2,100,200,120,1
9,2,1,2500,2,100,500,120,2
9,1,1,2500,1,100,150,20,2
9,1,1,2500,1,100,200,30,1
9,1,1,2500,2,100,500,30,2
9,2,1,2500,1,100,150,80,2
9,2,1,2500,2,100,200,120,1
9,2,1,2500,2,100,500,120,2
10,1,1,2500,1,100,150,20,2
10,1,1,2500,1,100,200,30,2
10,1,1,2500,2,100,500,30,2
10,2,1,2500,1,100,150,80,2
10,2,1,2500,2,100,200,120,1
10,2,1,2500,2,100,500,120,2
10,1,1,2500,1,100,150,20,2
10,1,1,2500,1,100,200,30,2
10,1,1,2500,2,100,500,30,2
10,2,1,2500,1,100,150,80,2
10,2,1,2500,2,100,200,120,1
10,2,1,2500,2,100,500,120,2
10,1,1,2500,1,100,150,20,2
10,1,1,2500,1,100,200,30,2
10,1,1,2500,2,100,500,30,2
10,2,1,2500,1,100,150,80,2
10,2,1,2500,2,100,200,120,2
10,2,1,2500,2,100,500,120,2
10,1,1,2500,1,100,150,20,2
10,1,1,2500,1,100,200,30,2
10,1,1,2500,2,100,500,30,2
10,2,1,2500,1,100,150,80,2
10,2,1,2500,2,100,200,120,2
10,2,1,2500,2,100,500,120,2
1,1,1,2500,1,300,500,20,2
1,1,1,2500,2,300,300,20,2
1,2,1,2500,1,300,300,50,2
1,2,1,2500,2,300,400,50,2
1,1,1,2500,1,300,500,20,2
1,1,1,2500,2,300,300,20,2
1,2,1,2500,1,300,300,50,2
1,2,1,2500,2,300,400,50,2
1,1,1,2500,1,300,500,20,2
1,1,1,2500,2,300,300,20,2
1,2,1,2500,1,300,300,50,2
1,2,1,2500,2,300,400,50,2
1,1,1,2500,1,300,500,20,2
1,1,1,2500,2,300,300,20,2
1,2,1,2500,1,300,300,50,2
1,2,1,2500,2,300,400,50,2
2,1,1,2500,1,300,500,20,2
2,1,1,2500,2,300,300,20,2
2,2,1,2500,1,300,300,50,2
2,2,1,2500,2,300,400,50,2
2,1,1,2500,1,300,500,20,2
2,1,1,2500,2,300,300,20,2
2,2,1,2500,1,300,300,50,2
2,2,1,2500,2,300,400,50,2
2,1,1,2500,1,300,500,20,2
2,1,1,2500,2,300,300,20,2
2,2,1,2500,1,300,300,50,2
2,2,1,2500,2,300,400,50,2
2,1,1,2500,1,300,500,20,2
2,1,1,2500,2,300,300,20,2
2,2,1,2500,1,300,300,50,2
2,2,1,2500,2,300,400,50,2
3,1,1,2500,1,300,500,20,2
3,1,1,2500,2,300,300,20,2
3,2,1,2500,1,300,300,50,2
3,2,1,2500,2,300,400,50,2
3,1,1,2500,1,300,500,20,2
3,1,1,2500,2,300,300,20,2
3,2,1,2500,1,300,300,50,2
3,2,1,2500,2,300,400,50,2
3,1,1,2500,1,300,500,20,2
3,1,1,2500,2,300,300,20,2
3,2,1,2500,1,300,300,50,2
3,2,1,2500,2,300,400,50,2
3,1,1,2500,1,300,500,20,2
3,1,1,2500,2,300,300,20,2
3,2,1,2500,1,300,300,50,2
3,2,1,2500,2,300,400,50,2
4,1,1,2500,1,300,500,20,2
4,1,1,2500,2,300,300,20,2
4,2,1,2500,1,300,300,50,2
4,2,1,2500,2,300,400,50,2
4,1,1,2500,1,300,500,20,2
4,1,1,2500,2,300,300,20,2
4,2,1,2500,1,300,300,50,2
4,2,1,2500,2,300,400,50,2
4,1,1,2500,1,300,500,20,2
4,1,1,2500,2,300,300,20,2
4,2,1,2500,1,300,300,50,2
4,2,1,2500,2,300,400,50,2
4,1,1,2500,1,300,500,20,2
4,1,1,2500,2,300,300,20,2
4,2,1,2500,1,300,300,50,2
4,2,1,2500,2,300,400,50,2
5,1,1,2500,1,300,500,20,2
5,1,1,2500,2,300,300,20,2
5,2,1,2500,1,300,300,50,2
5,2,1,2500,2,300,400,50,2
5,1,1,2500,1,300,500,20,2
5,1,1,2500,2,300,300,20,2
5,2,1,2500,1,300,300,50,2
5,2,1,2500,2,300,400,50,2
5,1,1,2500,1,300,500,20,2
5,1,1,2500,2,300,300,20,2
5,2,1,2500,1,300,300,50,2
5,2,1,2500,2,300,400,50,2
5,1,1,2500,1,300,500,20,2
5,1,1,2500,2,300,300,20,2
5,2,1,2500,1,300,300,50,2
5,2,1,2500,2,300,400,50,2
6,1,1,2500,1,300,500,20,2
6,1,1,2500,2,300,300,20,2
6,2,1,2500,1,300,300,50,2
6,2,1,2500,2,300,400,50,2
6,1,1,2500,1,300,500,20,2
6,1,1,2500,2,300,300,20,2
6,2,1,2500,1,300,300,50,2
6,2,1,2500,2,300,400,50,2
6,1,1,2500,1,300,500,20,2
6,1,1,2500,2,300,300,20,2
6,2,1,2500,1,300,300,50,2
6,2,1,2500,2,300,400,50,2
6,1,1,2500,1,300,500,20,2
6,1,1,2500,2,300,300,20,2
6,2,1,2500,1,300,300,50,2
6,2,1,2500,2,300,400,50,2
7,1,1,2500,1,300,500,20,2
7,1,1,2500,2,300,300,20,2
7,2,1,2500,1,300,300,50,2
7,2,1,2500,2,300,400,50,2
7,1,1,2500,1,300,500,20,2
7,1,1,2500,2,300,300,20,2
7,2,1,2500,1,300,300,50,2
7,2,1,2500,2,300,400,50,2
7,1,1,2500,1,300,500,20,2
7,1,1,2500,2,300,300,20,2
7,2,1,2500,1,300,300,50,2
7,2,1,2500,2,300,400,50,2
7,1,1,2500,1,300,500,20,2
7,1,1,2500,2,300,300,20,2
7,2,1,2500,1,300,300,50,2
7,2,1,2500,2,300,400,50,2
8,1,1,2500,1,300,500,20,2
8,1,1,2500,2,300,300,20,2
8,2,1,2500,1,300,300,50,2
8,2,1,2500,2,300,400,50,2
8,1,1,2500,1,300,500,20,2
8,1,1,2500,2,300,300,20,2
8,2,1,2500,1,300,300,50,2
8,2,1,2500,2,300,400,50,2
8,1,1,2500,1,300,500,20,2
8,1,1,2500,2,300,300,20,2
8,2,1,2500,1,300,300,50,2
8,2,1,2500,2,300,400,50,2
8,1,1,2500,1,300,500,20,2
8,1,1,2500,2,300,300,20,2
8,2,1,2500,1,300,300,50,2
8,2,1,2500,2,300,400,50,2
9,1,1,2500,1,300,500,20,2
9,1,1,2500,2,300,300,20,2
9,2,1,2500,1,300,300,50,2
9,2,1,2500,2,300,400,50,2
9,1,1,2500,1,300,500,20,2
9,1,1,2500,2,300,300,20,2
9,2,1,2500,1,300,300,50,2
9,2,1,2500,2,300,400,50,2
9,1,1,2500,1,300,500,20,2
9,1,1,2500,2,300,300,20,2
9,2,1,2500,1,300,300,50,2
9,2,1,2500,2,300,400,50,2
9,1,1,2500,1,300,500,20,2
9,1,1,2500,2,300,300,20,2
9,2,1,2500,1,300,300,50,2
9,2,1,2500,2,300,400,50,2
10,1,1,2500,1,300,500,20,2
10,1,1,2500,2,300,300,20,2
10,2,1,2500,1,300,300,50,2
10,2,1,2500,2,300,400,50,2
10,1,1,2500,1,300,500,20,2
10,1,1,2500,2,300,300,20,2
10,2,1,2500,1,300,300,50,2
10,2,1,2500,2,300,400,50,2
10,1,1,2500,1,300,500,20,2
10,1,1,2500,2,300,300,20,2
10,2,1,2500,1,300,300,50,2
10,2,1,2500,2,300,400,50,2
10,1,1,2500,1,300,500,20,2
10,1,1,2500,2,300,300,20,2
10,2,1,2500,1,300,300,50,2
10,2,1,2500,2,300,400,50,2
1,1,1,2500,1,600,1000,150,2
1,1,1,2500,2,600,2000,200,2
1,1,1,2500,3,600,100,10,2
1,2,1,2500,1,600,2000,30,2
1,2,1,2500,2,600,100,30,2
1,2,1,2500,3,600,300,50,2
1,1,1,2500,1,600,1000,150,2
1,1,1,2500,2,600,2000,200,2
1,1,1,2500,3,600,100,10,2
1,2,1,2500,1,600,2000,30,2
1,2,1,2500,2,600,100,30,2
1,2,1,2500,3,600,300,50,2
1,1,1,2500,1,600,1000,150,2
1,1,1,2500,2,600,2000,200,2
1,1,1,2500,3,600,100,10,2
1,2,1,2500,1,600,2000,30,2
1,2,1,2500,2,600,100,30,2
1,2,1,2500,3,600,300,50,2
1,1,1,2500,1,600,1000,150,2
1,1,1,2500,2,600,2000,200,2
1,1,1,2500,3,600,100,10,2
1,2,1,2500,1,600,2000,30,2
1,2,1,2500,2,600,100,30,2
1,2,1,2500,3,600,300,50,2
2,1,1,2500,1,600,1000,150,2
2,1,1,2500,2,600,2000,200,2
2,1,1,2500,3,600,100,10,2
2,2,1,2500,1,600,2000,30,2
2,2,1,2500,2,600,100,30,2
2,2,1,2500,3,600,300,50,2
2,1,1,2500,1,600,1000,150,2
2,1,1,2500,2,600,2000,200,2
2,1,1,2500,3,600,100,10,2
2,2,1,2500,1,600,2000,30,2
2,2,1,2500,2,600,100,30,2
2,2,1,2500,3,600,300,50,2
2,1,1,2500,1,600,1000,150,2
2,1,1,2500,2,600,2000,200,2
2,1,1,2500,3,600,100,10,2
2,2,1,2500,1,600,2000,30,2
2,2,1,2500,2,600,100,30,2
2,2,1,2500,3,600,300,50,2
2,1,1,2500,1,600,1000,150,2
2,1,1,2500,2,600,2000,200,2
2,1,1,2500,3,600,100,10,2
2,2,1,2500,1,600,2000,30,2
2,2,1,2500,2,600,100,30,2
2,2,1,2500,3,600,300,50,2
3,1,1,2500,1,600,1000,150,2
3,1,1,2500,2,600,2000,200,2
3,1,1,2500,3,600,100,10,2
3,2,1,2500,1,600,2000,30,2
3,2,1,2500,2,600,100,30,2
3,2,1,2500,3,600,300,50,2
3,1,1,2500,1,600,1000,150,2
3,1,1,2500,2,600,2000,200,2
3,1,1,2500,3,600,100,10,2
3,2,1,2500,1,600,2000,30,2
3,2,1,2500,2,600,100,30,2
3,2,1,2500,3,600,300,50,2
3,1,1,2500,1,600,1000,150,2
3,1,1,2500,2,600,2000,200,2
3,1,1,2500,3,600,100,10,2
3,2,1,2500,1,600,2000,30,2
3,2,1,2500,2,600,100,30,2
3,2,1,2500,3,600,300,50,2
3,1,1,2500,1,600,1000,150,2
3,1,1,2500,2,600,2000,200,2
3,1,1,2500,3,600,100,10,2
3,2,1,2500,1,600,2000,30,2
3,2,1,2500,2,600,100,30,2
3,2,1,2500,3,600,300,50,2
4,1,1,2500,1,600,1000,150,2
4,1,1,2500,2,600,2000,200,2
4,1,1,2500,3,600,100,10,2
4,2,1,2500,1,600,2000,30,2
4,2,1,2500,2,600,100,30,2
4,2,1,2500,3,600,300,50,2
4,1,1,2500,1,600,1000,150,2
4,1,1,2500,2,600,2000,200,2
4,1,1,2500,3,600,100,10,2
4,2,1,2500,1,600,2000,30,2
4,2,1,2500,2,600,100,30,2
4,2,1,2500,3,600,300,50,2
4,1,1,2500,1,600,1000,150,2
4,1,1,2500,2,600,2000,200,2
4,1,1,2500,3,600,100,10,2
4,2,1,2500,1,600,2000,30,2
4,2,1,2500,2,600,100,30,2
4,2,1,2500,3,600,300,50,2
4,1,1,2500,1,600,1000,150,2
4,1,1,2500,2,600,2000,200,2
4,1,1,2500,3,600,100,10,2
4,2,1,2500,1,600,2000,30,2
4,2,1,2500,2,600,100,30,2
4,2,1,2500,3,600,300,50,2
5,1,1,2500,1,600,1000,150,2
5,1,1,2500,2,600,2000,200,2
5,1,1,2500,3,600,100,10,2
5,2,1,2500,1,600,2000,30,2
5,2,1,2500,2,600,100,30,2
5,2,1,2500,3,600,300,50,2
5,1,1,2500,1,600,1000,150,2
5,1,1,2500,2,600,2000,200,2
5,1,1,2500,3,600,100,10,2
5,2,1,2500,1,600,2000,30,2
5,2,1,2500,2,600,100,30,2
5,2,1,2500,3,600,300,50,2
5,1,1,2500,1,600,1000,150,2
5,1,1,2500,2,600,2000,200,2
5,1,1,2500,3,600,100,10,2
5,2,1,2500,1,600,2000,30,2
5,2,1,2500,2,600,100,30,2
5,2,1,2500,3,600,300,50,2
5,1,1,2500,1,600,1000,150,2
5,1,1,2500,2,600,2000,200,2
5,1,1,2500,3,600,100,10,2
5,2,1,2500,1,600,2000,30,2
5,2,1,2500,2,600,100,30,2
5,2,1,2500,3,600,300,50,2
6,1,1,2500,1,600,1000,150,2
6,1,1,2500,2,600,2000,200,2
6,1,1,2500,3,600,100,10,2
6,2,1,2500,1,600,2000,30,2
6,2,1,2500,2,600,100,30,2
6,2,1,2500,3,600,300,50,2
6,1,1,2500,1,600,1000,150,2
6,1,1,2500,2,600,2000,200,2
6,1,1,2500,3,600,100,10,2
6,2,1,2500,1,600,2000,30,2
6,2,1,2500,2,600,100,30,2
6,2,1,2500,3,600,300,50,2
6,1,1,2500,1,600,1000,150,2
6,1,1,2500,2,600,2000,200,2
6,1,1,2500,3,600,100,10,2
6,2,1,2500,1,600,2000,30,2
6,2,1,2500,2,600,100,30,2
6,2,1,2500,3,600,300,50,2
6,1,1,2500,1,600,1000,150,2
6,1,1,2500,2,600,2000,200,2
6,1,1,2500,3,600,100,10,2
6,2,1,2500,1,600,2000,30,2
6,2,1,2500,2,600,100,30,2
6,2,1,2500,3,600,300,50,2
7,1,1,2500,1,600,1000,150,2
7,1,1,2500,2,600,2000,200,2
7,1,1,2500,3,600,100,10,2
7,2,1,2500,1,600,2000,30,2
7,2,1,2500,2,600,100,30,2
7,2,1,2500,3,600,300,50,2
7,1,1,2500,1,600,1000,150,2
7,1,1,2500,2,600,2000,200,2
7,1,1,2500,3,600,100,10,2
7,2,1,2500,1,600,2000,30,2
7,2,1,2500,2,600,100,30,2
7,2,1,2500,3,600,300,50,2
7,1,1,2500,1,600,1000,150,2
7,1,1,2500,2,600,2000,200,2
7,1,1,2500,3,600,100,10,2
7,2,1,2500,1,600,2000,30,2
7,2,1,2500,2,600,100,30,2
7,2,1,2500,3,600,300,50,2
7,1,1,2500,1,600,1000,150,2
7,1,1,2500,2,600,2000,200,2
7,1,1,2500,3,600,100,10,2
7,2,1,2500,1,600,2000,30,2
7,2,1,2500,2,600,100,30,2
7,2,1,2500,3,600,300,50,2
8,1,1,2500,1,600,1000,150,2
8,1,1,2500,2,600,2000,200,2
8,1,1,2500,3,600,100,10,2
8,2,1,2500,1,600,2000,30,2
8,2,1,2500,2,600,100,30,2
8,2,1,2500,3,600,300,50,2
8,1,1,2500,1,600,1000,150,2
8,1,1,2500,2,600,2000,200,2
8,1,1,2500,3,600,100,10,2
8,2,1,2500,1,600,2000,30,2
8,2,1,2500,2,600,100,30,2
8,2,1,2500,3,600,300,50,2
8,1,1,2500,1,600,1000,150,2
8,1,1,2500,2,600,2000,200,2
8,1,1,2500,3,600,100,10,2
8,2,1,2500,1,600,2000,30,2
8,2,1,2500,2,600,100,30,2
8,2,1,2500,3,600,300,50,2
8,1,1,2500,1,600,1000,150,2
8,1,1,2500,2,600,2000,200,2
8,1,1,2500,3,600,100,10,2
8,2,1,2500,1,600,2000,30,2
8,2,1,2500,2,600,100,30,2
8,2,1,2500,3,600,300,50,2
9,1,1,2500,1,600,1000,150,2
9,1,1,2500,2,600,2000,200,2
9,1,1,2500,3,600,100,10,2
9,2,1,2500,1,600,2000,30,2
9,2,1,2500,2,600,100,30,2
9,2,1,2500,3,600,300,50,2
9,1,1,2500,1,600,1000,150,2
9,1,1,2500,2,600,2000,200,2
9,1,1,2500,3,600,100,10,2
9,2,1,2500,1,600,2000,30,2
9,2,1,2500,2,600,100,30,2
9,2,1,2500,3,600,300,50,2
9,1,1,2500,1,600,1000,150,2
9,1,1,2500,2,600,2000,200,2
9,1,1,2500,3,600,100,10,2
9,2,1,2500,1,600,2000,30,2
9,2,1,2500,2,600,100,30,2
9,2,1,2500,3,600,300,50,2
9,1,1,2500,1,600,1000,150,2
9,1,1,2500,2,600,2000,200,2
9,1,1,2500,3,600,100,10,2
9,2,1,2500,1,600,2000,30,2
9,2,1,2500,2,600,100,30,2
9,2,1,2500,3,600,300,50,2
10,1,1,2500,1,600,1000,150,2
10,1,1,2500,2,600,2000,200,2
10,1,1,2500,3,600,100,10,2
10,2,1,2500,1,600,2000,30,2
10,2,1,2500,2,600,100,30,2
10,2,1,2500,3,600,300,50,2
10,1,1,2500,1,600,1000,150,2
10,1,1,2500,2,600,2000,200,2
10,1,1,2500,3,600,100,10,2
10,2,1,2500,1,600,2000,30,2
10,2,1,2500,2,600,100,30,2
10,2,1,2500,3,600,300,50,2
10,1,1,2500,1,600,1000,150,2
10,1,1,2500,2,600,2000,200,2
10,1,1,2500,3,600,100,10,2
10,2,1,2500,1,600,2000,30,2
10,2,1,2500,2,600,100,30,2
10,2,1,2500,3,600,300,50,2
10,1,1,2500,1,600,1000,150,2
10,1,1,2500,2,600,2000,200,2
10,1,1,2500,3,600,100,10,2
10,2,1,2500,1,600,2000,30,2
10,2,1,2500,2,600,100,30,2
10,2,1,2500,3,600,300,50,2
1,1,1,2500,1,1200,400,120,2
1,2,1,2500,1,1200,1000,150,2
1,1,1,2500,1,1200,400,120,2
1,2,1,2500,1,1200,1000,150,2
1,1,1,2500,1,1200,400,120,2
1,2,1,2500,1,1200,1000,150,2
1,1,1,2500,1,1200,400,120,2
1,2,1,2500,1,1200,1000,150,2
2,1,1,2500,1,1200,400,120,2
2,2,1,2500,1,1200,1000,150,2
2,1,1,2500,1,1200,400,120,2
2,2,1,2500,1,1200,1000,150,2
2,1,1,2500,1,1200,400,120,2
2,2,1,2500,1,1200,1000,150,2
2,1,1,2500,1,1200,400,120,2
2,2,1,2500,1,1200,1000,150,2
3,1,1,2500,1,1200,400,120,2
3,2,1,2500,1,1200,1000,150,2
3,1,1,2500,1,1200,400,120,2
3,2,1,2500,1,1200,1000,150,2
3,1,1,2500,1,1200,400,120,2
3,2,1,2500,1,1200,1000,150,2
3,1,1,2500,1,1200,400,120,2
3,2,1,2500,1,1200,1000,150,2
4,1,1,2500,1,1200,400,120,2
4,2,1,2500,1,1200,1000,150,2
4,1,1,2500,1,1200,400,120,2
4,2,1,2500,1,1200,1000,150,2
4,1,1,2500,1,1200,400,120,2
4,2,1,2500,1,1200,1000,150,2
4,1,1,2500,1,1200,400,120,2
4,2,1,2500,1,1200,1000,150,2
5,1,1,2500,1,1200,400,120,2
5,2,1,2500,1,1200,1000,150,2
5,1,1,2500,1,1200,400,120,2
5,2,1,2500,1,1200,1000,150,2
5,1,1,2500,1,1200,400,120,2
5,2,1,2500,1,1200,1000,150,2
5,1,1,2500,1,1200,400,120,2
5,2,1,2500,1,1200,1000,150,2
6,1,1,2500,1,1200,400,120,2
6,2,1,2500,1,1200,1000,150,2
6,1,1,2500,1,1200,400,120,2
6,2,1,2500,1,1200,1000,150,2
6,1,1,2500,1,1200,400,120,2
6,2,1,2500,1,1200,1000,150,2
6,1,1,2500,1,1200,400,120,2
6,2,1,2500,1,1200,1000,150,2
7,1,1,2500,1,1200,400,120,2
7,2,1,2500,1,1200,1000,150,2
7,1,1,2500,1,1200,400,120,2
7,2,1,2500,1,1200,1000,150,2
7,1,1,2500,1,1200,400,120,2
7,2,1,2500,1,1200,1000,150,2
7,1,1,2500,1,1200,400,120,2
7,2,1,2500,1,1200,1000,150,2
8,1,1,2500,1,1200,400,120,2
8,2,1,2500,1,1200,1000,150,2
8,1,1,2500,1,1200,400,120,2
8,2,1,2500,1,1200,1000,150,2
8,1,1,2500,1,1200,400,120,2
8,2,1,2500,1,1200,1000,150,2
8,1,1,2500,1,1200,400,120,2
8,2,1,2500,1,1200,1000,150,2
9,1,1,2500,1,1200,400,120,2
9,2,1,2500,1,1200,1000,150,2
9,1,1,2500,1,1200,400,120,2
9,2,1,2500,1,1200,1000,150,2
9,1,1,2500,1,1200,400,120,2
9,2,1,2500,1,1200,1000,150,2
